meeting_date,track_name,race_number,race_distance,track_condition,race_class,runner_name,runner_number,barrier_draw,weight_kg,jockey,trainer,jt_pair,fixed_odds_win,fixed_odds_win_open,odds_drift,win_rate_last5,place_rate_last5,jt_pair_win_rate,form_rating_dfs,early_speed_rating,early_speed_band,win_flag
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_0,1,5,59.6,JOCKEY_62,TRAINER_46,JOCKEY_59 / TRAINER_18,2.33,2.76,-0.43,0.0779,0.3179,0.0131,88.0,41,MIDFIELD,1
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_1,2,1,54.8,JOCKEY_77,TRAINER_34,JOCKEY_38 / TRAINER_16,17.09,16.98,0.11,0.1303,0.3415,0.1409,72.0,16,LEADER,0
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_2,3,3,61.8,JOCKEY_18,TRAINER_38,JOCKEY_66 / TRAINER_21,25.82,26.37,-0.54,0.2679,0.4991,0.2498,88.0,97,BACKMARKER,0
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_3,4,4,60.1,JOCKEY_64,TRAINER_40,JOCKEY_0 / TRAINER_39,21.95,22.63,-0.68,0.155,0.3415,0.2047,67.0,50,MIDFIELD,0
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_4,5,6,60.3,JOCKEY_62,TRAINER_1,JOCKEY_11 / TRAINER_12,33.89,33.25,0.64,0.2659,0.5775,0.2342,94.0,90,BACKMARKER,0
2025-06-25,TRACK_0,1,1400,HVY10,BM64,HORSE_0_5,6,2,55.0,JOCKEY_9,TRAINER_28,JOCKEY_44 / TRAINER_4,7.5,7.66,-0.16,0.2674,0.5087,0.1696,91.0,71,BACKMARKER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_0,1,7,55.7,JOCKEY_14,TRAINER_7,JOCKEY_46 / TRAINER_4,11.97,11.99,-0.02,0.3426,0.6702,0.2158,66.0,18,LEADER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_1,2,2,57.3,JOCKEY_51,TRAINER_33,JOCKEY_11 / TRAINER_33,4.22,5.05,-0.84,0.0338,0.2585,0.0125,94.0,50,MIDFIELD,1
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_2,3,4,60.8,JOCKEY_8,TRAINER_30,JOCKEY_47 / TRAINER_14,7.39,6.01,1.38,0.2351,0.3862,0.2775,103.0,91,BACKMARKER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_3,4,11,55.9,JOCKEY_1,TRAINER_33,JOCKEY_39 / TRAINER_22,19.84,21.84,-2.0,0.3834,0.6281,0.2348,71.0,21,LEADER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_4,5,12,54.5,JOCKEY_75,TRAINER_42,JOCKEY_35 / TRAINER_14,13.21,12.79,0.42,0.2287,0.4707,0.0801,95.0,51,MIDFIELD,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_5,6,5,56.3,JOCKEY_1,TRAINER_33,JOCKEY_53 / TRAINER_5,36.1,34.42,1.67,0.3305,0.6994,0.0421,71.0,73,BACKMARKER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_6,7,6,56.3,JOCKEY_22,TRAINER_48,JOCKEY_18 / TRAINER_11,36.8,36.3,0.5,0.2638,0.5819,0.2306,92.0,28,LEADER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_7,8,10,59.3,JOCKEY_2,TRAINER_10,JOCKEY_76 / TRAINER_31,33.18,32.27,0.9,0.2219,0.4332,0.2489,95.0,74,BACKMARKER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_8,9,1,58.5,JOCKEY_23,TRAINER_14,JOCKEY_34 / TRAINER_48,25.73,25.27,0.45,0.206,0.3828,0.2808,80.0,37,MIDFIELD,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_9,10,3,60.3,JOCKEY_79,TRAINER_23,JOCKEY_25 / TRAINER_1,4.6,4.88,-0.29,0.3567,0.6813,0.2672,93.0,82,BACKMARKER,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_10,11,8,59.3,JOCKEY_61,TRAINER_0,JOCKEY_74 / TRAINER_47,31.24,31.42,-0.18,0.2647,0.4768,0.0283,72.0,62,MIDFIELD,0
2025-01-10,TRACK_1,2,1800,HVY10,CL4,HORSE_1_11,12,9,57.3,JOCKEY_19,TRAINER_35,JOCKEY_69 / TRAINER_2,20.73,22.2,-1.46,0.0491,0.3984,0.046,63.0,59,MIDFIELD,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_0,1,8,58.0,JOCKEY_67,TRAINER_0,JOCKEY_53 / TRAINER_5,33.57,32.98,0.59,0.2384,0.6183,0.2413,103.0,85,BACKMARKER,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_1,2,5,55.2,JOCKEY_74,TRAINER_43,JOCKEY_60 / TRAINER_30,16.17,15.11,1.06,0.3318,0.6708,0.0698,101.0,19,LEADER,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_2,3,1,54.1,JOCKEY_21,TRAINER_22,JOCKEY_42 / TRAINER_12,26.31,24.55,1.76,0.165,0.3773,0.1278,82.0,75,BACKMARKER,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_3,4,2,55.8,JOCKEY_38,TRAINER_29,JOCKEY_28 / TRAINER_7,37.31,36.14,1.17,0.0947,0.4185,0.245,61.0,22,LEADER,0
2025-10-09,TRACK_2,3,2400,Soft5,CL4,HORSE_2_4,5,4,55.1,JOCKEY_12,TRAINER_14,JOCKEY_46 / TRAINER_7,3.05,3.49,-0.43,0.3299,0.523,0.0432,86.0,77,BACKMARKER,1
